customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,operator,region_uf,plan_speed_mbps,avg_download_speed_mbps,avg_latency_ms,packet_loss_pct_30d,fiber_outages_count_90d,modem_reboots_count_30d,technical_visit_count_12m,nps_score,csat_score,whatsapp_sentiment_score,crm_tickets_opened_60d,anatel_complaint_flag,billing_disputes_count_12m,auto_debit_failures_count,price_increase_pct_last_cycle,pix_payment_enabled,b2b_cnpj_flag
CLARO-00001-125,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),143.62,1879.19,No,Claro,MG,300,275.4,36.2,0.85,0,0,1,8,3.9,0.26,1,0,0,0,14.6,1,0
CLARO-00002-949,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),180.61,12404.64,No,Claro,BA,500,449.5,31.0,0.66,0,0,0,5,4.6,0.34,0,0,0,0,6.0,1,0
TIM-00003-680,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),152.08,5245.04,No,TIM,PR,700,678.5,16.8,0.83,0,0,0,8,4.1,0.56,1,0,0,0,11.5,1,0
VIVO-00004-261,Female,1,No,No,25,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),89.51,2201.99,No,Vivo,PR,50,51.8,21.7,0.07,0,1,0,8,3.9,0.77,1,0,0,0,11.5,1,0
CLARO-00005-662,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.01,351.3,Yes,Claro,SC,50,8.6,158.3,13.95,7,4,2,0,2.4,-0.48,2,0,2,3,8.6,1,0
CLARO-00006-516,Male,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,153.42,600.45,No,Claro,PE,300,306.4,14.3,0.98,1,0,0,8,3.8,0.26,0,0,0,0,13.5,1,0
VIVO-00007-499,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.48,99.64,No,Vivo,RJ,100,86.6,16.7,1.15,1,0,0,9,4.1,0.28,1,0,0,0,8.8,1,0
TIM-00008-309,Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,149.62,8474.81,No,TIM,DF,1000,910.5,25.1,0.67,0,2,0,8,4.6,0.56,1,0,0,0,11.1,1,0
VIVO-00009-315,Female,0,No,No,25,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,111.19,2822.33,No,Vivo,SP,50,49.4,15.4,1.14,0,0,0,8,4.5,0.48,0,0,0,0,5.4,1,0
CLARO-00010-462,Female,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),102.14,3346.07,No,Claro,PE,50,51.1,15.2,1.05,1,0,0,8,4.2,0.72,0,0,0,0,14.5,1,0
